Assuming page size is 4 KB
Global1: Global memory latency for 1 KB array and varying strides.
   stride (bytes), latency (clocks)
   7496, 186.547168
   7504, 186.733496
   7512, 186.519238
   7520, 186.758301
   7528, 186.547363
   7536, 186.746875
   7544, 186.532129
   7552, 186.745117
   7560, 186.539648
   7568, 186.739062
   7576, 186.530762
   7584, 186.735059
   7592, 186.549121
   7600, 186.714551
   7608, 186.544824
   7616, 186.735059
   7624, 186.533691
   7632, 186.739746
   7640, 186.522559
   7648, 186.712402
   7656, 186.557520
   7664, 186.748340
   7672, 186.536328
   7680, 186.735938
   7688, 186.530762
   7696, 186.730957
   7704, 186.525098
   7712, 186.732520
   7720, 186.526172
   7728, 186.747363
   7736, 186.546582
   7744, 186.754395
   7752, 186.546289
   7760, 186.716504
   7768, 186.546875
   7776, 186.734277
   7784, 186.560742
   7792, 186.746289
   7800, 186.530957
   7808, 186.698828
   7816, 186.533691
   7824, 186.738574
   7832, 186.536035
   7840, 186.741992
   7848, 186.555176
   7856, 186.735352
   7864, 186.504199
   7872, 186.745215
   7880, 186.539160
   7888, 186.730273
   7896, 186.550684
   7904, 186.714551
   7912, 186.516797
   7920, 186.746582
   7928, 186.536523
   7936, 186.740820
   7944, 186.542090
   7952, 186.759082
   7960, 186.536719
   7968, 186.737891
   7976, 186.521680
   7984, 186.726562
   7992, 186.563770
   8000, 186.749023
   8008, 186.553125
   8016, 186.735156
   8024, 186.519531
   8032, 186.746094
   8040, 186.552832
   8048, 186.743750
   8056, 186.538281
   8064, 186.755273
   8072, 186.521777
   8080, 186.752148
   8088, 186.554590
   8096, 186.744141
   8104, 186.550293
   8112, 186.739551
   8120, 186.543066
   8128, 186.727832
   8136, 186.535352
   8144, 186.742871
   8152, 186.541016
   8160, 186.759668
   8168, 186.549121
   8176, 186.732617
   8184, 186.554883
   8192, 185.645703
