Assuming page size is 4 KB

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   10,    0.23, 0.023438, 185.930176
   10,    0.23, 0.023438, 185.570215
   10,    0.31, 0.031250, 185.748145
   10,    0.39, 0.039062, 186.187695
   10,    0.47, 0.046875, 186.193164
   10,    0.55, 0.054688, 186.643555
   10,    0.62, 0.062500, 186.180664
   10,    0.78, 0.078125, 186.804785
   10,    0.86, 0.085938, 186.188574
   10,    1.02, 0.101562, 186.409082
   10,    1.25, 0.125000, 186.629102
   10,    1.48, 0.148438, 186.639746
   10,    1.80, 0.179688, 186.195117
   10,    2.11, 0.210938, 186.806543
   10,    2.50, 0.250000, 186.661035
   10,    2.97, 0.296875, 186.408984
   10,    3.52, 0.351562, 186.420117
   10,    4.22, 0.421875, 186.399219
   10,    5.00, 0.500000, 186.650879
   10,    5.94, 0.593750, 186.830176
   10,    7.11, 0.710938, 186.512012
   10,    8.44, 0.843750, 186.405664
   10,   10.00, 1.000000, 186.406250
   10,   11.88, 1.187500, 186.820020
   10,   14.14, 1.414062, 186.189453
   10,   16.80, 1.679688, 186.396191
   10,   20.00, 2.000000, 186.907422
   10,   23.75, 2.375000, 186.615234
   10,   28.28, 2.828125, 186.404687
   10,   33.67, 3.367188, 186.389941
   10,   40.00, 4.000000, 186.418359
   10,   47.58, 4.757812, 185.962500
   10,   56.56, 5.656250, 186.211035
   10,   67.27, 6.726562, 187.348242
   10,   80.00, 8.000000, 186.635645
   10,   95.16, 9.515625, 186.389746
   10,  113.12, 11.312500, 186.190234
   10,  134.53, 13.453125, 186.622754
   10,  160.00, 16.000000, 186.415918
   10,  190.23, 19.023438, 186.637988
   10,  226.25, 22.625000, 186.366504
   10,  269.06, 26.906250, 186.174609
   10,  320.00, 32.000000, 186.432031
   10,  380.55, 38.054688, 186.402539
   10,  452.58, 45.257812, 186.438477
   10,  538.20, 53.820312, 186.852930
   10,  640.00, 64.000000, 187.111914
   10,  761.09, 76.109375, 186.175098
   10,  905.08, 90.507812, 186.640820
   10, 1076.33, 107.632812, 186.842969
   10, 1280.00, 128.000000, 186.416992
   10, 1522.19, 152.218750, 186.041895
   10, 1810.16, 181.015625, 187.165430
   10, 2152.66, 215.265625, 186.395801
   10, 2560.00, 256.000000, 186.418652
   10, 3044.38, 304.437500, 186.412305
   10, 3620.39, 362.039062, 186.873047
   10, 4305.39, 430.539062, 187.047070
   10, 5120.00, 512.000000, 186.208887
   10, 6088.75, 608.875000, 186.403223
   10, 7240.78, 724.078125, 186.975977
   10, 8610.78, 861.078125, 186.400586
   10, 10240.00, 1024.000000, 186.193066
