Assuming page size is 64 KB
8
8

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   17, 20701.75, 1217.750000, 197.854980
   17, 24618.12, 1448.125000, 197.687305
   17, 29276.12, 1722.125000, 197.233691
   17, 34816.00, 2048.000000, 197.533594
   17, 41403.50, 2435.500000, 197.351367
   17, 49236.25, 2896.250000, 197.530176
   17, 58552.25, 3444.250000, 197.741113
   17, 69632.00, 4096.000000, 197.392969
   17, 82807.00, 4871.000000, 197.632031
   17, 98474.62, 5792.625000, 197.171289
   17, 117106.62, 6888.625000, 197.627344
   17, 139264.00, 8192.000000, 197.537109
   17, 165614.00, 9742.000000, 197.603125
   17, 196949.25, 11585.250000, 196.894922
   17, 234213.25, 13777.250000, 197.244141
   17, 278528.00, 16384.000000, 197.523145
   17, 331228.00, 19484.000000, 197.469727
   17, 393898.50, 23170.500000, 197.159277
   17, 468426.50, 27554.500000, 197.321094
   17, 557056.00, 32768.000000, 197.412793
   17, 662456.00, 38968.000000, 197.503613
   17, 787797.00, 46341.000000, 197.432227
   17, 936853.00, 55109.000000, 197.362695
   17, 1114112.00, 65536.000000, 197.537500
   17, 1324909.88, 77935.875000, 197.757422
   17, 1575591.88, 92681.875000, 197.684961
   17, 1873706.00, 110218.000000, 197.624316
   17, 2228224.00, 131072.000000, OOM.
   17, 2649819.75, 155871.750000, OOM.
   17, 3151183.75, 185363.750000, OOM.
   17, 3747412.00, 220436.000000, OOM.
   17, 4456448.00, 262144.000000, OOM.
   17, 5299639.50, 311743.500000, OOM.
   17, 6302369.62, 370727.625000, OOM.
   17, 7494821.88, 440871.875000, OOM.
   17, 8912896.00, 524288.000000, OOM.
   17, 10599279.00, 623487.000000, OOM.
   17, 12604739.25, 741455.250000, OOM.
   17, 14989643.75, 881743.750000, OOM.
